city,lat,lon,temperature,pm25,aqi,humidity,timestamp
Tokyo,35.6762,139.6503,28.5,18.2,72,68,2024-01-15 09:00:00
Beijing,39.9042,116.4074,35.2,89.4,156,42,2024-01-15 09:00:00
Bangkok,13.7563,100.5018,33.8,45.6,98,75,2024-01-15 09:00:00
Seoul,37.5665,126.9780,26.4,38.9,88,55,2024-01-15 09:00:00
Delhi,28.6139,77.2090,38.7,178.3,285,34,2024-01-15 09:00:00
Singapore,1.3521,103.8198,30.2,22.4,65,82,2024-01-15 09:00:00
Dhaka,23.8103,90.4125,32.4,112.5,198,71,2024-01-15 09:00:00
Ulaanbaatar,47.8864,106.9057,22.1,76.8,134,38,2024-01-15 09:00:00
Berlin,52.5200,13.4050,18.3,14.2,45,72,2024-01-15 09:00:00
London,51.5074,-0.1278,16.8,12.8,38,78,2024-01-15 09:00:00
Reykjavik,64.1265,-21.8174,8.4,5.2,18,65,2024-01-15 09:00:00
New York,40.7128,-74.0060,22.6,18.9,58,62,2024-01-15 09:00:00
Sydney,-33.8688,151.2093,24.8,11.4,42,70,2024-01-15 09:00:00
Nairobi,-1.2921,36.8219,25.6,28.4,71,66,2024-01-15 09:00:00
Jakarta,-6.2088,106.8456,31.5,67.8,122,79,2024-01-15 09:00:00
